round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
738,3,2.04,324.2,344.05,3,0,1,37,0
739,1,2.04,293.3,342.51,1,0,0,30,0
740,2,2.02,598.3,341.61,2,0,0,36,0
741,1,2.02,102.2,340.14,1,0,0,17,0
742,2,2.02,328.1,339.72,2,0,0,29,0
743,1,2.02,301.3,339.93,1,0,1,38,0
744,5,2.04,545.6,341.59,0,1,0,26,1
745,2,2.04,175.7,341.79,2,0,0,21,0
746,3,2.06,428.9,342.33,3,0,1,31,0
747,1,2.06,414.1,343.33,1,0,0,22,1
748,1,2.02,577.7,342.52,1,0,0,30,1
749,4,2.04,724.6,344.87,4,0,0,42,1
750,2,2.03,779.8,347.82,2,0,0,35,1
751,3,2.04,329.8,348.42,3,0,0,22,1
752,1,2.04,198.6,345.61,1,0,0,18,0
753,2,1.99,564.2,344.59,2,0,0,35,1
754,0,1.99,207.0,342.57,0,0,1,28,0
755,1,1.99,445.5,344.4,1,0,0,39,0
756,2,1.96,366.7,343.38,2,0,1,37,0
757,6,1.97,437.0,342.06,6,0,1,41,0
758,2,1.98,550.5,344.58,2,0,0,27,1
759,4,1.98,347.6,345.12,4,0,0,19,0
760,1,1.97,251.3,344.8,1,0,0,21,0
761,2,1.97,75.8,343.35,2,0,1,14,0
762,2,1.98,261.5,343.18,2,0,0,24,0
763,0,1.96,-86.6,341.65,0,0,1,9,0
764,2,1.96,783.1,343.19,2,0,0,45,1
765,1,1.96,296.1,342.46,1,0,1,33,0
766,2,1.97,335.8,344.38,2,0,0,28,0
767,0,1.97,90.7,342.86,0,0,0,15,0
768,10,2.02,726.8,345.7,5,1,0,38,1
769,1,1.99,461.8,346.18,1,0,0,21,1
770,3,2.0,374.0,347.17,3,0,0,25,0
771,4,2.02,370.9,346.84,4,0,0,25,0
772,3,2.02,515.1,347.8,3,0,0,35,1
773,5,2.04,461.1,349.22,5,0,0,31,0
774,2,2.04,322.6,350.46,2,0,0,22,0
775,8,2.08,635.8,353.62,3,1,0,40,0
